Matlab;C++;Difference
5265904.04325494;5265904.04236175;0.0008931933
5524342.24723898;5524342.24753262;-0.0002936395
5689423.54128977;5689423.54223005;-0.0009402847
5991848.43313525;5991848.43206571;0.001069543
6365622.00340237;6365622.00368547;-0.0002831016
6384161.66490414;6384161.66423062;0.0006735222
6736635.52272592;6736635.52293265;-0.0002067322
7207490.58740919;7207490.58796321;-0.0005540214
7612771.46018582;7612771.45953821;0.0006476063
8079540.82444625;8079540.82413823;0.0003080228
8598323.31299976;8598323.31337695;-0.0003771894
8837482.52760081;8837482.52733372;0.0002670866
9633992.38167208;9633992.38251409;-0.0008420143
9827312.68046036;9827312.68028338;0.0001769811
10275028.344938;10275028.3448058;0.0001322106
11145118.0986222;11145118.0985979;2.43261456489563E-005
11578650.1283527;11578650.1280231;0.0003296304
12537263.157142;12537263.157054;8.80416482686996E-005
12910452.2738151;12910452.2741548;-0.000339726
13973256.751156;13973256.751293;-0.0001370385
14473777.1461267;14473777.1467041;-0.0005774368
14981450.3201618;14981450.3197476;0.0004141834
15442515.7308431;15442515.7307712;7.18608498573303E-005
16382871.076569;16382871.0766305;-6.15362077951431E-005
16922080.7455234;16922080.7458186;-0.0002952181
17073966.4123899;17073966.4123755;1.44205987453461E-005
18292774.4038975;18292774.4041421;-0.0002446435
18451549.7949419;18451549.79486;8.18520784378052E-005
19429292.0770559;19429292.0773085;-0.0002525486
20018609.4160378;20018609.4160428;-0.000005044
