-1.#IND
76037919499309792
75810770106616080
29351082132281352
29033341598938444
13407719971802808
13345213946554338
8941989759358188
8735542436788392
6310026153727473
6115435667855155
5301247086548687
4729450412965659
4133273826856273
3605225091996810.5
3109553325523084
2649412458607664.5
2226206556239465.2
1839842756687919.5
1490273038788850
1177499672130353
901523185391956.25
662343564788091.87
459960808880876
294374917683755.62
165585891197174.72
-24.346423595288488
18398432355251.988
73593729421011.234
-1.#IND
-1.#IND
20009978815607872
19950202659635880
7723968982179378
7640353052352289
3528347361000673
3511898406987921.5
2353155199831102.5
2298826957049574.5
1660533198349318.7
1609325175751334.7
1395065022775964.7
1244592213938339.2
1087703638646409.6
948743445262338.25
818303506716601.62
697213804896727.62
585843830589323.25
484169146496850.87
392177115470782.94
309868334771137.44
237242943524184.47
174300938102139.5
121042318126575.05
77467083601002.781
43575234525558.297
-7.8894809919014364
4841692725050.3916
19366770900245.348
-1.#IND
