1.#INF
3.1322834086770893e+018
3.1314371407114716e+018
1.1770964798762081e+018
1.176110622358122e+018
5.147967757539936e+017
5.1451959906355539e+017
3.2040034080857434e+017
3.2005189063878726e+017
2.0307900795582429e+017
2.0293053146428477e+017
1.4876891026449392e+017
1.4857336058912858e+017
1.0905644482382667e+017
1.0895952135895731e+017
86752802875409616
86618058742367584
68807356987633184
68737114649974952
57590055068069832
57484135461612728
48032574851666160
47978818581169480
41655076395357880
41561731987599696
36005749548750948
35965059048373616
32093734071322324
31998583101231228
28517255666930412
28495904573324892
26045056470686508
25912657514513992
23738233581539408
23664290902075496
22313492774390092
21923971320165368
20943009217044552
20399270258831860
19707685340187020
19048569525855920
18389462266238836
17752650020262384
17125116722264756
16507741137930016
15901847024556844
15307482669679310
14724413011920140
14152641614555866
13592195232972162
13043073171111614
12505272975350768
11978794733521314
11463638619932280
10959804627329798
10467292746150538
9986102976819810
9516235319737726
9057689774886416
8610466342251510
8174565021834126
7749985813635652
7336728717658133
6934793733899238
6544180862356214
6164890103030709
5796921455926528
5440274921043295
5094950498377432
4760948187927342
4438267989694543
4126909903681780.5
3826873929889186
3538160068315620.5
3260768318960138.5
2994698681822670.5
2739951156903374.5
2496525744202038
2264422443719376
2043641255457001.7
1834182179414598.7
1636045215589754.5
1449230363980991.5
1273737624592078.5
1109566997424615.9
956718482475310.25
815192079740784
684987789225261.5
566105610931008.75
458545544854937.19
362307590994514.25
277391749353074.97
203798019933670.44
141526402733294.72
-1055.460941499475
5661056107024.3965
22644224435754.641
50949504984361.281
90576897750414.437
1.#INF
