1.#INF
6.5362431203457956e+018
6.5350192622631107e+018
2.4544832620400543e+018
2.4530642322240916e+018
1.0721636152599412e+018
1.0717629154277967e+018
6.6626388896935104e+017
6.6576709240045504e+017
4.2141151441039738e+017
4.2119730954413562e+017
3.0796141223741888e+017
3.076870816826393e+017
2.2506571250439062e+017
2.2492628002489891e+017
1.7842299679025696e+017
1.7823870908386746e+017
1.4093467278072341e+017
1.4083371009804445e+017
1.1741593930609184e+017
1.1727680008130594e+017
97409419316870928
97331352472025344
83960477122173248
83846023369283936
72080453592522848
72017656855825040
63716785065057256
63615099560510504
56124617025475520
56073636507982872
50617942039970296
50519158519856384
45508263318658728
45469947829351272
41756260101686480
41645119598399568
38191660707357688
38181331818588936
35651954630084772
35471860206936636
33230792988229788
33071310883276292
31686248656723904
31122352202221932
30072423628253920
29359881577209092
28540206492367116
27742927369238700
26949415290546852
26176337280964808
25412900638936360
24659660805299272
23917894357823824
23187670930970576
22468739941409644
21761101534840936
21064788959677480
20379801810788448
19706136382814996
19043792766153528
18392771294823976
17753071957865494
17124694730869480
16507639614775610
15901906611023276
15307495719553262
14724406940298600
14152640273261150
13592195718440094
13043073275836786
12505272945452444
11978794727287734
11463638621341246
10959804627614434
10467292746102946
9986102976806668
9516235319730572
9057689774880802
8610466342251899
8174565021838043
7749985813638743
7336728717659616
6934793733899972
6544180862357275
6164890103032359
5796921455929267
5440274921045788
5094950498375644
4760948187922025
4438267989692066.5
4126909903685314.5
3826873929894525
3538160068316796
3260768318957264.5
2994698681821619
2739951156904749
2496525744202788.5
2264422443719540.5
2043641255459254.7
1834182179417391.5
1636045215591200.5
1449230363982246.5
1273737624593500
1109566997425094.7
956718482474193.12
815192079738800.87
684987789223340.62
566105610929916
458545544854430.44
362307590994989.5
277391749356112.34
203798019931554.25
-934.5583833077834
5661056108255
22644224433361.844
50949504980316.805
141526402721359
90576897749611.297
1.#INF
