Matlab;C++;Difference
11111738.0575809;11111738.0575639;1.69631093740463E-005
11363616.4682097;11363616.4681559;5.37596642971039E-005
12087801.561667;12087801.5616215;4.54578548669815E-005
13206825.1772406;13206825.1772748;-3.41758131980896E-005
14630366.3794313;14630366.3795165;-8.52197408676147E-005
16278732.2802859;16278732.2803476;-6.17094337940216E-005
18090570.5494572;18090570.5494535;0.000003662
20021550.193245;20021550.1932142;3.07634472846985E-005
22040379.1663672;22040379.1663366;3.05585563182831E-005
24125013.3191693;24125013.3191365;3.28496098518372E-005
26259785.4851945;26259785.485156;3.84822487831116E-005
28433404.8615926;28433404.8615687;2.39461660385132E-005
30637604.3864049;30637604.3864034;1.46776437759399E-006
32866231.990748;32866231.9907718;-2.37822532653809E-005
35114636.8373613;35114636.8373904;-2.9146671295166E-005
37379250.2250881;37379250.2250978;-9.74535942077637E-006
39657295.5051072;39657295.5051075;-3.20374965667725E-007
41946584.347077;41946584.3470893;-1.22636556625366E-005
44245371.5343344;44245371.5343508;-1.63838267326355E-005
46552249.9805955;46552249.9805928;2.72691249847412E-006
48866073.7784399;48866073.7784239;1.59814953804016E-005
51185901.0568445;51185901.056839;5.51342964172363E-006
53510951.0259307;53510951.0259452;-0.000014469
55840571.3134963;55840571.3135105;-1.41635537147522E-005
58174212.858924;58174212.8589234;6.40749931335449E-007
60511410.4207798;60511410.4207644;1.54078006744385E-005
62851767.2996265;62851767.299608;1.84997916221619E-005
65194943.2584961;65194943.2584911;4.96208667755127E-006
67540644.8924557;67540644.8924717;-0.000015974
