Matlab;C++;Difference
6635614.38082601;6635614.38085211;-2.61003151535988E-005
7049286.11895653;7049286.11894172;1.48117542266846E-005
8165512.97506068;8165512.97501426;4.64161857962608E-005
9745813.80979396;9745813.80983231;-3.83537262678146E-005
11602080.6732942;11602080.6733549;-6.07222318649292E-005
13621959.4847767;13621959.4847982;-2.14874744415283E-005
15742598.2085317;15742598.2085337;-1.99489295482636E-006
17928277.3207909;17928277.3207977;-6.80238008499146E-006
20157851.3078329;20157851.3078196;1.32657587528229E-005
22418227.476782;22418227.4767677;1.42976641654968E-005
24700951.1816471;24700951.1816522;-5.12972474098206E-006
27000354.9527345;27000354.9527483;-1.37537717819214E-005
29312513.6774301;29312513.6774251;4.96208667755127E-006
31634630.7205018;31634630.7204894;1.24312937259674E-005
33964663.6340326;33964663.6340326;0
36301088.1784811;36301088.1784932;-1.21146440505981E-005
38642745.0154615;38642745.0154728;-1.13248825073242E-005
40988737.4035495;40988737.4035474;2.05636024475098E-006
43338361.2722447;43338361.2722305;1.4185905456543E-005
45691056.3875314;45691056.3875186;1.28373503684998E-005
48046371.580707;48046371.5807077;-6.92903995513916E-007
50403939.5538865;50403939.5538911;-4.58210706710815E-006
52763458.3329324;52763458.3329305;0.000001885
55124677.4155599;55124677.4155545;5.39422035217285E-006
57487387.2889266;57487387.2889222;4.37349081039429E-006
59851411.4007627;59851411.4007541;8.57561826705933E-006
62216599.941155;62216599.9411517;3.30060720443726E-006
64582824.9771608;64582824.9771735;-1.26585364341736E-005
66949976.6097234;66949976.6097417;-1.82986259460449E-005
