Matlab;C++;Difference
5841174.80775369;5836700.91114919;4473.8966045026
6121251.37287019;6117417.83687281;3833.5359973805
7776924.08110478;7773303.64138226;3620.4397225184
9016889.34920612;9012232.86187657;4656.4873295482
9794058.83413242;9788753.83158615;5305.0025462676
9925918.03365542;9920872.76364589;5045.2700095326
11623494.782858;11619276.989064;4217.7937940434
11733625.4143245;11730344.4310233;3280.9833011925
13709100.9017125;13705331.2824161;3769.6192964371
14208863.2921612;14206545.5857949;2317.706366308
16279277.6295348;16275880.0625755;3397.5669592936
16572841.8284495;16570877.3471948;1964.4812547285
18817187.7535954;18815279.3042135;1908.4493819326
19414571.3497422;19412036.595691;2534.754051216
21106237.6207809;21104153.257105;2084.3636758737
22491850.7967614;22490485.7465061;1365.0502552651
23865509.9128799;23862947.5876159;2562.3252640031
24927045.3750701;24925907.6519445;1137.723125644
27169189.0548047;27168046.3677596;1142.6870451346
27444597.9171949;27442434.0008203;2163.9163745679
29409288.7299639;29408061.8295469;1226.9004169777
31016662.6533865;31015529.3978097;1133.2555767559
31962005.7219349;31960169.2231236;1836.4988113158
33532647.4940039;33531835.6407742;811.853229668
35663801.7440302;35662011.0467978;1790.6972323731
35767780.2583869;35766956.8000208;823.4583661109
37987774.3294388;37986914.8372406;859.4921981916
39550611.7713688;39549479.3355452;1132.435823597
40356974.9976628;40355735.0961323;1239.9015305042
