Matlab;C++;Difference
3125774.80630523;3123410.33905773;2364.4672475038
3412985.01365084;3410306.92103438;2678.092616465
3571171.81687202;3569586.22399397;1585.5928780446
3873965.08680174;3871769.22533885;2195.8614628934
4050363.31603698;4047294.71920196;3068.5968350214
4553392.45639513;4552063.13673367;1329.3196614562
4813545.86803466;4811665.42328716;1880.4447475039
5569693.72033188;5566676.4798685;3017.2404633816
5916023.25295068;5914523.98825175;1499.2646989282
6207021.28763936;6206891.40254997;129.8850893872
7252119.10107855;7250926.7366015;1192.3644770533
7539787.85561521;7539233.15045917;554.7051560367
8682963.5302961;8681975.28940841;988.2408876922
8835506.43444146;8834661.79982103;844.6346204299
9530022.24830002;9527920.78327852;2101.4650214985
10167946.8352351;10167117.270963;829.5642720591
11130736.7730832;11129918.9816777;817.7914055306
11436992.2851754;11435614.4024508;1377.882724572
11697819.3550924;11697150.0588883;669.2962041199
13134243.3437522;13133361.5929092;881.7508429997
13384688.0932745;13384116.020832;572.0724424981
13749468.0662196;13748632.3244433;835.7417762987
14731325.8250788;14730553.3880977;772.4369810838
15401678.929171;15401148.04477;530.8844010048
16129661.7569121;16129311.7350714;350.0218407456
16423834.4327487;16422767.3906718;1067.0420769192
17445792.5078384;17445398.3289259;394.178912472
17840251.2181683;17839805.5613701;445.6567981839
18840453.158716;18839525.5015985;927.6571175084
19306551.5451938;19306185.2068173;366.3383765444
