Matlab;C++;Difference;
602.5887682686;0;602.5887682686;C++ doesn't have small value
2200384.67823945;2200384.66906527;0.0091741802;
4289339.38345725;4289339.38393634;-0.000479091;
4400769.35272657;4400769.35022551;0.0025010584;
6601154.03046458;6601154.0277579;0.0027066814;
8578678.76833349;8578678.76889644;-0.0005629547;
8801538.7059061;8801538.70550226;0.000403842;
11001923.3832987;11001923.3816806;0.001618078;
12868018.1535854;12868018.1535264;0.000058962;
13202308.0593877;13202308.0589962;0.0003915261;
15402692.7366815;15402692.7360666;0.0006149486;
17157357.5379452;17157357.5376172;0.0003279597;
17603077.41312;17603077.4125987;0.0005213171;
19803462.0898488;19803462.0892366;0.000612244;
21446696.9224044;21446696.9223366;6.78226351737976E-005;
22003846.7659482;22003846.7656637;0.0002845451;
24204231.4431415;24204231.4424391;0.0007024482;
25736036.3068616;25736036.3069281;-6.64703547954559E-005;
26404616.1195394;26404616.1191336;0.0004057959;
28605000.7962384;28605000.7957669;0.0004714578;
30025375.6913985;30025375.6913543;4.42191958427429E-005;
30805385.4727984;30805385.4724862;0.0003121495;
33005770.1492215;33005770.1489821;0.000239417;
34314715.0759663;34314715.0759131;5.32045960426331E-005;
35206154.8258081;35206154.825675;0.0001330674;
37406539.5024253;37406539.5021299;0.0002953485;
38604054.4604109;38604054.4602189;0.0001919642;
39606924.1789519;39606924.1788427;0.0001091734;
41807308.855589;41807308.855507;8.19936394691467E-005;
42893393.8448751;42893393.8448278;4.72813844680786E-005;
