Matlab;C++;Difference
9930002.48523366;9930002.48654102;-0.0013073552
9955642.23657063;9955642.23833547;-0.0017648377
11509625.0339845;11509625.0340884;-0.0001039281
12579616.3608393;12579616.3612602;-0.0004209392
13882989.6983376;13882989.6981949;0.0001427084
15151400.1346624;15151400.133667;0.0009953696
16047407.8675156;16047407.8672391;0.0002764892
16064378.504626;16064378.5044213;0.0002047122
17450078.3503707;17450078.3503243;0.000046365
17555314.8487238;17555314.8476;0.0011238158
19419108.3665482;19419108.3668633;-0.0003150553
19523806.7995784;19523806.7994818;9.66154038906097E-005
21511121.888157;21511121.8879976;0.0001594275
21878116.7414355;21878116.7413175;0.0001180433
23892582.1333275;23892582.1335342;-0.0002066754
24228429.0465726;24228429.0463619;0.0002107471
26484625.7114214;26484625.7120808;-0.0006594174
26670645.5069745;26670645.5068302;0.0001442693
28737445.8008305;28737445.801058;-0.0002274923
29647001.4658669;29647001.4656325;0.0002343729
31189519.5443704;31189519.5453153;-0.0009449124
32295096.1878835;32295096.1878841;-6.2212347984314E-007
34220315.1451127;34220315.1451737;-6.09755516052246E-005
34610489.416788;34610489.4172234;-0.0004354343
36849926.4575016;36849926.4578356;-0.0003340319
37653164.5830973;37653164.582804;0.0002932623
39172066.6615805;39172066.6622225;-0.000642024
40686267.4582788;40686267.458024;0.0002548024
42094500.211879;42094500.2119697;-0.000090681
