Matlab;C++;Difference
5841174.80775369;5841174.80733519;0.0004184972
6121251.37287019;6121251.36971124;0.003158954
7776924.08110478;7776924.08157791;-0.0004731333
9016889.34920612;9016889.34800357;0.0012025479
9794058.83413242;9794058.83173675;0.0023956653
9925918.03365542;9925918.02438658;0.0092688389
11623494.782858;11623494.7800932;0.002764808
11733625.4143245;11733625.4131756;0.0011488535
13709100.9017125;13709100.8986148;0.0030977149
14208863.2921612;14208863.2894894;0.002671795
16279277.6295348;16279277.629343;0.0001918357
16572841.8284495;16572841.8259254;0.0025240723
18817187.7535954;18817187.7520556;0.0015397966
19414571.3497422;19414571.3501375;-0.0003953427
21106237.6207809;21106237.6193838;0.001397118
22491850.7967614;22491850.7957534;0.0010080114
23865509.9128799;23865509.9131377;-0.0002578087
24927045.3750701;24927045.3743377;0.0007324405
27169189.0548047;27169189.0545369;0.000267826
27444597.9171949;27444597.9172915;-9.66191291809082E-005
29409288.7299639;29409288.7294488;0.0005151033
31016662.6533865;31016662.6527209;0.000665579
31962005.7219349;31962005.7223591;-0.0004242025
33532647.4940039;33532647.4935467;0.0004572198
35663801.7440302;35663801.7440598;-2.95937061309814E-005
35767780.2583869;35767780.2580852;0.000301674
37987774.3294388;37987774.3288699;0.0005689114
39550611.7713688;39550611.7707767;0.0005920827
40356974.9976628;40356974.9977198;-5.69894909858704E-005
