Matlab;C++;Difference
11111738.0575809;11103804.8798059;7933.1777749881
11363616.4682097;11355859.2535197;7757.2146900073
12087801.561667;12080509.3743815;7292.187285481
13206825.1772406;13200151.1889677;6673.9882729314
14630366.3794313;14624342.0551025;6024.3243288323
16278732.2802859;16273318.1865877;5414.0936981849
18090570.5494572;18085698.8516847;4871.6977724657
20021550.193245;20017148.4554729;4401.7377720624
22040379.1663672;22036380.6906833;3998.4756838717
24125013.3191693;24121360.4052142;3652.9139551073
26259785.4851945;26256429.572129;3355.9130655415
28433404.8615926;28430305.5236813;3099.3379113115
30637604.3864049;30634728.0497903;2876.3366146162
32866231.990748;32863550.7122791;2681.2784689292
35114636.8373613;35112127.2549797;2509.5823816359
37379250.2250881;37376892.6950813;2357.530006811
39657295.5051072;39655073.4071793;2222.0979279131
41946584.347077;41944483.5292573;2100.8178196773
44245371.5343344;44243379.8704458;1991.6638886035
46552249.9805955;46550357.0169365;1892.9636590108
48866073.7784399;48864270.4505804;1803.3278594613
51185901.0568445;51184179.4615213;1721.5953231976
53510951.0259307;53509304.2362636;1646.7896671444
55840571.3134963;55838993.2284574;1578.0850388557
58174212.858924;58172698.0799731;1514.7789509371
60511410.4207798;60509954.1501887;1456.2705911398
62851767.2996265;62850365.2561688;1402.0434576869
65194943.2584961;65193591.6070793;1351.6514168158
67540644.8924557;67539340.1851346;1304.7073210627
