1.#INF
1.2710481946000916e+018
1.2705102462146941e+018
4.7830684561630336e+017
4.776746223876839e+017
2.0965366435570822e+017
2.0947741256113488e+017
1.3086450522387491e+017
1.306369129198401e+017
83273085420095856
83178469756650528
61287881155911864
61155857564674256
45189838137897616
45128144723435832
36192413765752320
36095984686510440
28937191949090816
28893625107991888
24454937869154752
24370021016437248
20618385147344752
20590910308340340
18144536002797292
18045086397633596
15931434590119758
15907924744490566
14613789948449360
14364781999872152
13448094161043552
13070750607904732
12504781820180860
11984658786648538
11460030323242114
10959359765114354
10467678599819400
9986195208712740
9516190878147824
9057680188540486
8610469809800268
8174565759576732
7749985616292387
7336728677615771
6934793741878109
6544180863872192
6164890102807062
5796921455890540
5440274921048629
5094950498375679
4760948187923949
4438267989693478.5
4126909903682976.5
3826873929890480
3538160068314837.5
3260768318957931
2994698681820405
2739951156901682.5
2496525744201667
2264422443721000.5
2043641255458869
1834182179415112.2
1636045215589610
1449230363982489.5
1273737624593580
1109566997423682.5
956718482473074.87
815192079740658
684987789226576.5
566105610931545.75
458545544854864.06
362307590996014.25
277391749356303.34
203798019935652.62
141526402732522.78
90576897747326.281
-168.28844044797623
5661056109007.9043
50949504982233.633
22644224436600.895
1.#INF
