69973333.333333433, -112330642.81916796, 62623451.083854012, -32213333.333333358, 20103033.233008813, -14349580.024068078, 11306666.666666672, -9639777.1567641012, 8793515.6831372231, -4266666.6666666688
33336352.84659053, -48166821.844698906, 18014012.283744827, -4578368.8491381342, 2223140.183079232, -1412610.6539819469, 1047142.6307142817, -863495.35750417877, 774488.52014758601, -373839.75895328668
-2289184.4245690671, 8903981.9583500642, -11263751.832968449, 5636099.1817244664, -1412610.6539819471, 678076.1992348471, -433951.63295529399, 329949.18532024423, -283893.98851387436, 135286.00835900489
533333.33333333314, -1412610.6539819466, 4120138.2561825989, -5973333.3333333386, 3331384.9638914405, -863495.35750417912, 426666.66666666727, -283893.98851387488, 228476.77992596509, -106666.66666666679
-216975.81647764717, 507911.51702033117, -863495.35750417912, 2916758.1875612568, -4569426.3223326718, 2735562.2945321687, -747679.51790657337, 392877.85857071035, -283893.98851387436, 128361.14505047879
128361.14505047881, -283893.98851387441, 392877.85857071035, -747679.51790657337, 2735562.2945321687, -4569426.3223326718, 2916758.1875612568, -863495.35750417912, 507911.51702033117, -216975.81647764717
-106666.66666666677, 228476.77992596509, -283893.98851387476, 426666.66666666721, -863495.35750417912, 3331384.9638914401, -5973333.3333333386, 4120138.2561825989, -1412610.6539819469, 533333.33333333326
135286.00835900489, -283893.98851387436, 329949.18532024423, -433951.63295529399, 678076.1992348471, -1412610.6539819471, 5636099.1817244664, -11263751.832968445, 8903981.9583500642, -2289184.4245690671
-373839.75895328674, 774488.52014758612, -863495.357504179, 1047142.6307142819, -1412610.6539819471, 2223140.1830792325, -4578368.8491381351, 18014012.283744831, -48166821.844698913, 33336352.84659053
-4266666.666666667, 8793515.6831372213, -9639777.1567640994, 11306666.66666667, -14349580.024068072, 20103033.233008806, -32213333.333333347, 62623451.083853997, -112330642.81916788, 69973333.333333373
