1.8166004488953436
2379297.398246896
4758594.7964942381
7137892.1947960751
9517189.5532165281
11896486.075823374
14275827.006962797
16655431.388592608
19031150.173000909
21391561.591067266
23885877.772502143
26104222.030992549
29370192.18484854
29826017.014632124
41512521.437258884
42170184.517175041
66139385.084289275
66347261.918230072
1.#INF
1.#INF
