1.5891e+06,20.097,17.892,28.402
2.0385e+06,36.539,49.258,309.06
2.7892e+06,1.5891e+06,382.95,1.5891e+06
3.1783e+06,2.0385e+06,1.5891e+06,2.0385e+06
4.0769e+06,2.7892e+06,2.0385e+06,2.7892e+06
4.7674e+06,3.1783e+06,2.7892e+06,3.1783e+06
5.5785e+06,4.0769e+06,3.1783e+06,4.0769e+06
6.1154e+06,4.7674e+06,4.0769e+06,4.7674e+06
6.3565e+06,5.5785e+06,4.7674e+06,5.5785e+06
7.9456e+06,6.1154e+06,5.5785e+06,6.1154e+06
8.1538e+06,6.3565e+06,6.1154e+06,6.3565e+06
8.3677e+06,7.9456e+06,6.3565e+06,7.9456e+06
9.5348e+06,8.1538e+06,7.9456e+06,8.1538e+06
1.0192e+07,8.3677e+06,8.1538e+06,8.3677e+06
1.1124e+07,9.5348e+06,8.3677e+06,9.5348e+06
1.1157e+07,1.0192e+07,9.5348e+06,1.0192e+07
1.2231e+07,1.1124e+07,1.0192e+07,1.1124e+07
1.2713e+07,1.1157e+07,1.1124e+07,1.1157e+07
1.3946e+07,1.2231e+07,1.1157e+07,1.2231e+07
1.4269e+07,1.2713e+07,1.2231e+07,1.2713e+07
1.4302e+07,1.3946e+07,1.2713e+07,1.3946e+07
1.5891e+07,1.4269e+07,1.3946e+07,1.4269e+07
1.6308e+07,1.4302e+07,1.4269e+07,1.4302e+07
1.6735e+07,1.5891e+07,1.4302e+07,1.5891e+07
1.748e+07,1.6308e+07,1.5891e+07,1.6308e+07
1.8346e+07,1.6735e+07,1.6308e+07,1.6735e+07
1.907e+07,1.748e+07,1.6735e+07,1.748e+07
1.9525e+07,1.8346e+07,1.748e+07,1.8346e+07
2.0385e+07,1.907e+07,1.8346e+07,1.907e+07
2.0659e+07,1.9525e+07,1.907e+07,1.9525e+07
2.2248e+07,2.0385e+07,1.9525e+07,2.0385e+07
2.2314e+07,2.0659e+07,2.0385e+07,2.0659e+07
2.2423e+07,2.2248e+07,2.0659e+07,2.2248e+07
2.3837e+07,2.2314e+07,2.2248e+07,2.2314e+07
2.4461e+07,2.2423e+07,2.2314e+07,2.2423e+07
2.5103e+07,2.3837e+07,2.2423e+07,2.3837e+07
2.5426e+07,2.4461e+07,2.3837e+07,2.4461e+07
2.65e+07,2.5103e+07,2.4461e+07,2.5103e+07
2.7015e+07,2.5426e+07,2.5103e+07,2.5426e+07
2.7892e+07,2.65e+07,2.5426e+07,2.65e+07
2.8538e+07,2.7015e+07,2.65e+07,2.7015e+07
2.8604e+07,2.7892e+07,2.7015e+07,2.7892e+07
3.0193e+07,2.8538e+07,2.7892e+07,2.8538e+07
3.0577e+07,2.8604e+07,2.8538e+07,2.8604e+07
3.0682e+07,3.0193e+07,2.8604e+07,3.0193e+07
3.1783e+07,3.0577e+07,3.0193e+07,3.0577e+07
3.2615e+07,3.0682e+07,3.0577e+07,3.0682e+07
3.3372e+07,3.1783e+07,3.0682e+07,3.1783e+07
3.3471e+07,3.2615e+07,3.1783e+07,3.2615e+07
3.4654e+07,3.3372e+07,3.2615e+07,3.3372e+07
3.4961e+07,3.3471e+07,3.3372e+07,3.3471e+07
3.626e+07,3.4654e+07,3.3471e+07,3.4654e+07
3.655e+07,3.4961e+07,3.4654e+07,3.4961e+07
3.6692e+07,3.626e+07,3.4961e+07,3.626e+07
3.8139e+07,3.655e+07,3.626e+07,3.655e+07
3.8731e+07,3.6692e+07,3.655e+07,3.6692e+07
3.9049e+07,3.8139e+07,3.6692e+07,3.8139e+07
3.9728e+07,3.8731e+07,3.8139e+07,3.8731e+07
4.0769e+07,3.9049e+07,3.8731e+07,3.9049e+07
4.1317e+07,3.9728e+07,3.9049e+07,3.9728e+07
4.1838e+07,4.0769e+07,3.9728e+07,4.0769e+07
4.2808e+07,4.1317e+07,4.0769e+07,4.1317e+07
4.2906e+07,4.1838e+07,4.1317e+07,4.1838e+07
4.4496e+07,4.2808e+07,4.1838e+07,4.2808e+07
4.4628e+07,4.2906e+07,4.2808e+07,4.2906e+07
4.4846e+07,4.4496e+07,4.2906e+07,4.4496e+07
4.6085e+07,4.4628e+07,4.4496e+07,4.4628e+07
4.6884e+07,4.4846e+07,4.4628e+07,4.4846e+07
4.7417e+07,4.6085e+07,4.4846e+07,4.6085e+07
4.7674e+07,4.6884e+07,4.6085e+07,4.6884e+07
4.8923e+07,4.7417e+07,4.6884e+07,4.7417e+07
4.9263e+07,4.7674e+07,4.7417e+07,4.7674e+07
5.0206e+07,4.8923e+07,4.7674e+07,4.8923e+07
5.0852e+07,4.9263e+07,4.8923e+07,4.9263e+07
5.0961e+07,5.0206e+07,4.9263e+07,5.0206e+07
5.2441e+07,5.0852e+07,5.0206e+07,5.0852e+07
5.2995e+07,5.0961e+07,5.0852e+07,5.0961e+07
5.3e+07,5.2441e+07,5.0961e+07,5.2441e+07
5.403e+07,5.2995e+07,5.2441e+07,5.2995e+07
5.5038e+07,5.3e+07,5.2995e+07,5.3e+07
5.5619e+07,5.403e+07,5.3e+07,5.403e+07
5.5785e+07,5.5038e+07,5.403e+07,5.5038e+07
5.7077e+07,5.5619e+07,5.5038e+07,5.5619e+07
5.7209e+07,5.5785e+07,5.5619e+07,5.5785e+07
5.8574e+07,5.7077e+07,5.5785e+07,5.7077e+07
5.8799e+07,5.7209e+07,5.7077e+07,5.7209e+07
5.9115e+07,5.8574e+07,5.7209e+07,5.8574e+07
